time_index,Boerenkaas,Boter,"Melk, gemiddeld vet"
209,4.35,3.04,3.3520000000000003
210,4.35,3.065,3.5829999999999997
211,4.2,3.08,3.5490000000000004
212,4.15,3.055,3.5119999999999996
213,4.1,3.03,3.5020000000000002
214,4.1,2.985,3.034
215,4.1,2.985,3.027
216,4.1,2.985,3.025
217,4.1,2.99,3.0420000000000003
218,4.15,2.995,3.104
219,4.2,2.995,3.2990000000000004
220,4.2,2.98,3.349
221,,,
222,4.5,2.985,3.678
223,4.4,2.985,3.8850000000000002
224,4.35,3.055,3.8840000000000003
225,4.25,3.23,3.815
226,4.15,3.34,3.7979999999999996
227,4.05,3.36,3.226
228,3.95,3.335,3.2439999999999998
229,3.95,3.215,3.122
230,4.0,3.13,3.106
231,4.0,3.085,3.084
232,4.05,3.07,3.21
233,4.0,3.145,3.2979999999999996
234,,,
235,4.1,3.28,3.378
236,4.1,3.34,3.572
237,4.1,3.36,3.572
238,3.95,3.35,3.572
239,3.75,3.28,3.5729999999999995
240,3.7,3.235,3.028
241,3.85,3.145,2.972
242,3.95,3.065,2.961
243,3.9,3.01,2.9690000000000003
244,4.05,2.985,2.961
245,4.1,2.975,3.0469999999999997
246,4.1,3.015,3.1550000000000002
