time_index,Boerenkaas,Boter,"Melk, gemiddeld vet"
171,3.7,3.02,3.336
172,3.6,3.02,3.322
173,3.6,3.02,2.824
174,3.7,3.02,2.777
175,3.7,3.005,2.777
176,3.7,3.0,2.777
177,3.7,3.0,2.819
178,3.8,3.0,2.941
179,3.85,3.015,3.043
180,4.0,3.045,3.285
181,4.0,3.08,3.5130000000000003
182,4.0,3.11,3.479
183,3.95,3.11,3.4530000000000003
184,3.95,3.1,3.4530000000000003
185,4.05,3.065,2.9539999999999997
186,4.05,3.025,2.909
187,4.05,3.01,2.909
188,4.05,3.0,2.8760000000000003
189,4.05,3.0,2.8760000000000003
190,4.2,3.02,2.998
191,4.25,3.04,3.055
192,4.35,3.04,3.3520000000000003
193,4.35,3.065,3.5829999999999997
194,4.2,3.08,3.5490000000000004
195,4.15,3.055,3.5119999999999996
196,4.1,3.03,3.5020000000000002
197,4.1,2.985,3.034
198,4.1,2.985,3.027
199,4.1,2.985,3.025
200,4.1,2.99,3.0420000000000003
201,4.15,2.995,3.104
202,4.2,2.995,3.2990000000000004
203,4.2,2.98,3.349
204,4.5,2.985,3.678
205,4.4,2.985,3.8850000000000002
206,4.35,3.055,3.8840000000000003
207,4.25,3.23,3.815
208,4.15,3.34,3.7979999999999996
209,4.05,3.36,3.226
210,3.95,3.335,3.2439999999999998
211,3.95,3.215,3.122
212,4.0,3.13,3.106
213,4.0,3.085,3.084
214,4.05,3.07,3.21
215,4.0,3.145,3.2979999999999996
216,4.1,3.28,3.378
217,4.1,3.34,3.572
218,4.1,3.36,3.572
219,3.95,3.35,3.572
220,3.75,3.28,3.5729999999999995
221,3.7,3.235,3.028
222,3.85,3.145,2.972
223,3.95,3.065,2.961
224,3.9,3.01,2.9690000000000003
225,4.05,2.985,2.961
226,4.1,2.975,3.0469999999999997
227,4.1,3.015,3.1550000000000002
