time_index,Boerenkaas,Boter,"Melk, gemiddeld vet"
173,4.95,3.46,4.233
174,4.95,3.48,4.214
175,4.95,3.255,4.484
176,4.95,2.895,4.3100000000000005
177,4.87,2.958,4.211
178,4.85,2.98,3.9619999999999997
179,4.7,2.835,3.345
180,4.65,2.84,3.306
181,4.65,3.27,3.425
182,4.5,3.35,3.4490000000000003
183,4.5,3.088,3.3899999999999997
184,4.5,2.9275,3.2590000000000003
185,4.5,2.97,3.1
186,4.42,2.838,3.2409999999999997
187,4.4,2.66,3.307
188,4.4,2.752,3.312
189,4.4,2.985,3.3600000000000003
190,4.6,2.975,3.4299999999999997
191,4.6,2.8560000000000003,3.255
192,4.6,2.715,3.181
193,4.45,2.5675,3.17
194,4.45,2.36,2.898
195,4.45,2.3775,2.798
196,4.45,2.4825,2.58
197,4.45,2.9219999999999997,2.564
198,4.45,3.1675,2.754
199,4.45,3.4575,2.964
200,4.45,3.97,3.1149999999999998
201,4.58,4.2025,3.404
202,4.7,4.346,3.7649999999999997
203,4.7,4.39,3.957
204,4.81,4.27,3.4850000000000003
205,4.85,4.0225,3.5200000000000005
206,4.85,4.248,3.6020000000000003
207,4.85,4.4675,3.601
208,4.85,4.86,3.6109999999999998
209,4.85,5.725,3.6950000000000003
210,4.85,6.1525,3.761
211,4.85,6.62,3.8890000000000002
212,5.0,6.96,4.082
213,5.0,5.995,4.199
214,5.0,4.958,4.199
215,5.0,4.3425,4.169
216,4.98,4.104,3.721
217,4.9,4.565,3.5189999999999997
218,4.9,4.79,3.501
219,4.9,5.3,3.406
220,4.9,5.942,3.3649999999999998
221,4.9,6.01,3.396
222,4.9,5.42,3.533
223,4.9,5.47,3.5450000000000004
224,5.05,5.3375,3.6659999999999995
225,5.05,4.55,3.747
226,5.05,4.2575,3.6799999999999997
227,5.05,4.145,3.6659999999999995
